"Time","infromation loss"
2025-08-12 15:50:15,74%
2025-08-12 15:50:30,73%
2025-08-12 15:50:45,74%
2025-08-12 15:51:00,73%
2025-08-12 15:51:15,73%
2025-08-12 15:51:30,74%
2025-08-12 15:51:45,57%
2025-08-12 15:52:00,73%
2025-08-12 15:52:15,73%
2025-08-12 15:52:30,69%
2025-08-12 15:52:45,73%
2025-08-12 15:53:00,73%
2025-08-12 15:53:15,74%
2025-08-12 15:53:30,49%
2025-08-12 15:53:45,74%
2025-08-12 15:54:00,73%
2025-08-12 15:54:15,70%
2025-08-12 15:54:30,70%
2025-08-12 15:54:45,74%
2025-08-12 15:55:00,74%
2025-08-12 15:55:15,73%
2025-08-12 15:55:30,74%
2025-08-12 15:55:45,69%
2025-08-12 15:56:00,70%
2025-08-12 15:56:15,70%
2025-08-12 15:56:30,70%
2025-08-12 15:56:45,74%
2025-08-12 15:57:00,74%
2025-08-12 15:57:15,73%
2025-08-12 15:57:30,67%
2025-08-12 15:57:45,70%
2025-08-12 15:58:00,69%
2025-08-12 15:58:15,70%
2025-08-12 15:58:30,70%
2025-08-12 15:58:45,69%
2025-08-12 15:59:00,69%
2025-08-12 15:59:15,69%
2025-08-12 15:59:30,69%
2025-08-12 15:59:45,69%
2025-08-12 16:00:00,69%
2025-08-12 16:00:15,69%
2025-08-12 16:00:30,70%
2025-08-12 16:00:45,70%
2025-08-12 16:01:00,70%
2025-08-12 16:01:15,70%
2025-08-12 16:01:30,69%
2025-08-12 16:01:45,57%
2025-08-12 16:02:00,57%
2025-08-12 16:02:15,68%
2025-08-12 16:02:30,68%
2025-08-12 16:02:45,68%
2025-08-12 16:03:00,68%
2025-08-12 16:03:15,68%
2025-08-12 16:03:30,68%
2025-08-12 16:03:45,68%
2025-08-12 16:04:00,68%
2025-08-12 16:04:15,68%
2025-08-12 16:04:30,68%
2025-08-12 16:04:45,68%
2025-08-12 16:05:00,68%
2025-08-12 16:05:15,68%
2025-08-12 16:05:30,68%
2025-08-12 16:05:45,68%
2025-08-12 16:06:00,68%
2025-08-12 16:06:15,68%
2025-08-12 16:06:30,68%
2025-08-12 16:06:45,68%
2025-08-12 16:07:00,68%
2025-08-12 16:07:15,68%
2025-08-12 16:07:30,68%
2025-08-12 16:07:45,68%
2025-08-12 16:08:00,68%
2025-08-12 16:08:15,68%
2025-08-12 16:08:30,68%
2025-08-12 16:08:45,68%
2025-08-12 16:09:00,68%
2025-08-12 16:09:15,68%
2025-08-12 16:09:30,68%
2025-08-12 16:09:45,68%
2025-08-12 16:10:00,68%
2025-08-12 16:10:15,68%
2025-08-12 16:10:30,68%
2025-08-12 16:10:45,73%
2025-08-12 16:11:00,69%
2025-08-12 16:11:15,69%
2025-08-12 16:11:30,69%
2025-08-12 16:11:45,69%
2025-08-12 16:12:00,69%
2025-08-12 16:12:15,69%
2025-08-12 16:12:30,69%
2025-08-12 16:12:45,69%
2025-08-12 16:13:00,69%
2025-08-12 16:13:15,69%
2025-08-12 16:13:30,69%
2025-08-12 16:13:45,69%
2025-08-12 16:14:00,69%
2025-08-12 16:14:15,69%
2025-08-12 16:14:30,69%
2025-08-12 16:14:45,69%
2025-08-12 16:15:00,69%
2025-08-12 16:15:15,69%
2025-08-12 16:15:30,69%
2025-08-12 16:15:45,69%
2025-08-12 16:16:00,69%
2025-08-12 16:16:15,69%
2025-08-12 16:16:30,69%
2025-08-12 16:16:45,63%
2025-08-12 16:17:00,69%
2025-08-12 16:17:15,69%
2025-08-12 16:17:30,69%
2025-08-12 16:17:45,69%
2025-08-12 16:18:00,69%
2025-08-12 16:18:15,69%
2025-08-12 16:18:30,69%
2025-08-12 16:18:45,69%
2025-08-12 16:19:00,69%
2025-08-12 16:19:15,69%
2025-08-12 16:19:30,69%
2025-08-12 16:19:45,69%
2025-08-12 16:20:00,69%
2025-08-12 16:20:15,69%
2025-08-12 16:20:30,69%
2025-08-12 16:20:45,69%
2025-08-12 16:21:00,69%
2025-08-12 16:21:15,69%
2025-08-12 16:21:30,69%
