"Time","Observed l","Defined l"
2025-08-11 13:02:30,2,3
2025-08-11 13:02:45,2,3
2025-08-11 13:03:00,2,3
2025-08-11 13:03:15,2,3
2025-08-11 13:03:30,3,3
2025-08-11 13:03:45,2,3
2025-08-11 13:04:00,2,3
2025-08-11 13:04:15,3,3
2025-08-11 13:04:30,3,3
2025-08-11 13:04:45,2,3
2025-08-11 13:05:00,2,3
2025-08-11 13:05:15,2,3
2025-08-11 13:05:30,2,3
2025-08-11 13:05:45,3,3
2025-08-11 13:06:00,3,3
2025-08-11 13:06:15,2,3
2025-08-11 13:06:30,3,3
2025-08-11 13:06:45,3,3
2025-08-11 13:07:00,3,3
2025-08-11 13:07:15,2,3
2025-08-11 13:07:30,3,3
2025-08-11 13:07:45,3,3
2025-08-11 13:08:00,3,3
2025-08-11 13:08:15,3,3
2025-08-11 13:08:30,3,3
2025-08-11 13:08:45,2,3
2025-08-11 13:09:00,3,3
2025-08-11 13:09:15,2,3
2025-08-11 13:09:30,1,3
2025-08-11 13:09:45,2,3
2025-08-11 13:10:00,3,3
2025-08-11 13:10:15,3,3
2025-08-11 13:10:30,3,3
2025-08-11 13:10:45,2,3
2025-08-11 13:11:00,2,3
2025-08-11 13:11:15,2,3
2025-08-11 13:11:30,2,3
2025-08-11 13:11:45,2,3
2025-08-11 13:12:00,2,3
2025-08-11 13:12:15,2,3
2025-08-11 13:12:30,2,3
2025-08-11 13:12:45,2,3
2025-08-11 13:13:00,3,3
2025-08-11 13:13:15,3,3
2025-08-11 13:13:30,2,3
2025-08-11 13:13:45,2,3
2025-08-11 13:14:00,2,3
2025-08-11 13:14:15,2,3
2025-08-11 13:14:30,2,3
2025-08-11 13:14:45,3,3
2025-08-11 13:15:00,3,3
2025-08-11 13:15:15,3,3
2025-08-11 13:15:30,3,3
2025-08-11 13:15:45,3,3
2025-08-11 13:16:00,3,3
2025-08-11 13:16:15,2,3
2025-08-11 13:16:30,2,3
2025-08-11 13:16:45,3,3
2025-08-11 13:17:00,3,3
2025-08-11 13:17:15,2,3
2025-08-11 13:17:30,3,3
2025-08-11 13:18:15,3,3
2025-08-11 13:18:30,3,3
2025-08-11 13:18:45,3,3
2025-08-11 13:19:00,2,3
2025-08-11 13:19:15,2,3
2025-08-11 13:19:30,3,3
2025-08-11 13:19:45,3,3
2025-08-11 13:20:00,2,3
2025-08-11 13:20:15,2,3
2025-08-11 13:20:30,2,3
2025-08-11 13:20:45,2,3
2025-08-11 13:21:00,2,3
2025-08-11 13:21:15,2,3
2025-08-11 13:21:30,2,3
2025-08-11 13:21:45,2,3
2025-08-11 13:22:00,2,3
2025-08-11 13:22:15,2,3
2025-08-11 13:22:30,2,3
2025-08-11 13:22:45,2,3
2025-08-11 13:23:00,2,3
2025-08-11 13:23:15,2,3
2025-08-11 13:23:30,2,3
2025-08-11 13:23:45,2,3
2025-08-11 13:24:00,2,3
2025-08-11 13:24:15,3,3
2025-08-11 13:24:30,3,3
2025-08-11 13:24:45,3,3
2025-08-11 13:25:00,2,3
2025-08-11 13:25:15,2,3
2025-08-11 13:25:30,2,3
2025-08-11 13:25:45,2,3
2025-08-11 13:26:00,2,3
2025-08-11 13:26:15,2,3
2025-08-11 13:26:30,2,3
2025-08-11 13:26:45,2,3
2025-08-11 13:27:00,2,3
2025-08-11 13:27:15,2,3
2025-08-11 13:27:30,2,3
2025-08-11 13:27:45,2,3
2025-08-11 13:28:00,2,3
2025-08-11 13:28:15,2,3
2025-08-11 13:28:30,2,3
2025-08-11 13:28:45,2,3
2025-08-11 13:29:00,2,3
2025-08-11 13:29:15,2,3
2025-08-11 13:29:30,2,3
2025-08-11 13:30:00,2,3
2025-08-11 13:30:15,2,3
2025-08-11 13:30:30,2,3
2025-08-11 13:30:45,2,3
2025-08-11 13:31:00,2,3
2025-08-11 13:31:15,2,3
2025-08-11 13:31:30,2,3
2025-08-11 13:31:45,2,3
2025-08-11 13:32:00,2,3
2025-08-11 13:32:15,2,3
2025-08-11 13:32:30,2,3
2025-08-11 13:32:45,2,3
2025-08-11 13:33:00,2,3
2025-08-11 13:33:15,2,3
2025-08-11 13:33:30,3,3
2025-08-11 13:33:45,3,3
2025-08-11 13:34:00,3,3
2025-08-11 13:34:15,3,3
2025-08-11 13:34:30,2,3
