"Time","Observed l","Defined l"
2025-08-12 15:09:15,3,3
2025-08-12 15:09:30,3,3
2025-08-12 15:09:45,3,3
2025-08-12 15:10:00,3,3
2025-08-12 15:10:15,3,3
2025-08-12 15:10:30,3,3
2025-08-12 15:10:45,2,3
2025-08-12 15:11:00,2,3
2025-08-12 15:11:15,3,3
2025-08-12 15:11:30,3,3
2025-08-12 15:11:45,2,3
2025-08-12 15:12:00,3,3
2025-08-12 15:12:15,3,3
2025-08-12 15:12:30,3,3
2025-08-12 15:12:45,2,3
2025-08-12 15:13:00,3,3
2025-08-12 15:13:15,3,3
2025-08-12 15:13:30,2,3
2025-08-12 15:13:45,3,3
2025-08-12 15:14:00,3,3
2025-08-12 15:14:15,3,3
2025-08-12 15:14:30,3,3
2025-08-12 15:14:45,3,3
2025-08-12 15:15:00,3,3
2025-08-12 15:15:15,3,3
2025-08-12 15:15:30,3,3
2025-08-12 15:15:45,3,3
2025-08-12 15:16:00,3,3
2025-08-12 15:16:15,3,3
2025-08-12 15:16:30,3,3
2025-08-12 15:16:45,2,3
2025-08-12 15:17:00,2,3
2025-08-12 15:17:15,3,3
2025-08-12 15:17:30,3,3
2025-08-12 15:17:45,2,3
2025-08-12 15:18:00,2,3
2025-08-12 15:18:15,3,3
2025-08-12 15:18:30,3,3
2025-08-12 15:18:45,3,3
2025-08-12 15:19:00,3,3
2025-08-12 15:19:15,3,3
2025-08-12 15:19:30,3,3
2025-08-12 15:19:45,2,3
2025-08-12 15:20:00,3,3
2025-08-12 15:20:15,3,3
2025-08-12 15:20:30,3,3
2025-08-12 15:20:45,3,3
2025-08-12 15:21:00,3,3
2025-08-12 15:21:15,3,3
2025-08-12 15:21:30,3,3
2025-08-12 15:21:45,3,3
2025-08-12 15:22:00,3,3
2025-08-12 15:22:15,3,3
2025-08-12 15:22:30,3,3
2025-08-12 15:22:45,3,3
2025-08-12 15:23:00,3,3
2025-08-12 15:23:15,3,3
2025-08-12 15:23:30,3,3
2025-08-12 15:23:45,2,3
2025-08-12 15:24:00,3,3
2025-08-12 15:24:15,3,3
2025-08-12 15:24:30,3,3
2025-08-12 15:24:45,3,3
2025-08-12 15:25:00,2,3
2025-08-12 15:25:15,2,3
2025-08-12 15:25:30,3,3
2025-08-12 15:25:45,2,3
2025-08-12 15:26:00,2,3
2025-08-12 15:26:15,2,3
2025-08-12 15:26:30,2,3
2025-08-12 15:26:45,2,3
2025-08-12 15:27:00,2,3
2025-08-12 15:27:15,3,3
2025-08-12 15:27:30,3,3
2025-08-12 15:27:45,3,3
2025-08-12 15:28:00,2,3
2025-08-12 15:28:15,3,3
2025-08-12 15:28:30,3,3
2025-08-12 15:28:45,2,3
2025-08-12 15:29:00,3,3
2025-08-12 15:29:15,3,3
2025-08-12 15:29:30,3,3
2025-08-12 15:29:45,3,3
2025-08-12 15:30:00,3,3
2025-08-12 15:30:15,3,3
2025-08-12 15:30:30,3,3
2025-08-12 15:30:45,3,3
2025-08-12 15:31:00,2,3
2025-08-12 15:31:15,2,3
2025-08-12 15:31:30,2,3
2025-08-12 15:31:45,3,3
2025-08-12 15:32:00,3,3
2025-08-12 15:32:15,3,3
2025-08-12 15:32:30,3,3
2025-08-12 15:32:45,3,3
2025-08-12 15:33:00,2,3
2025-08-12 15:33:15,2,3
2025-08-12 15:33:30,2,3
2025-08-12 15:33:45,2,3
2025-08-12 15:34:00,2,3
2025-08-12 15:34:15,2,3
2025-08-12 15:34:30,3,3
2025-08-12 15:34:45,3,3
2025-08-12 15:35:00,3,3
2025-08-12 15:35:15,3,3
2025-08-12 15:35:30,3,3
2025-08-12 15:35:45,3,3
2025-08-12 15:36:00,3,3
2025-08-12 15:36:15,3,3
2025-08-12 15:36:30,3,3
2025-08-12 15:36:45,3,3
2025-08-12 15:37:00,3,3
2025-08-12 15:37:15,3,3
2025-08-12 15:37:30,3,3
2025-08-12 15:37:45,3,3
2025-08-12 15:38:00,3,3
2025-08-12 15:38:15,3,3
2025-08-12 15:38:30,3,3
2025-08-12 15:38:45,3,3
2025-08-12 15:39:00,3,3
2025-08-12 15:39:15,3,3
2025-08-12 15:39:30,3,3
2025-08-12 15:39:45,3,3
2025-08-12 15:40:00,3,3
2025-08-12 15:40:15,3,3
2025-08-12 15:40:30,2,3
