"Time","Observed l","Defined l"
2025-08-10 15:55:30,3,3
2025-08-10 15:55:45,2,3
2025-08-10 15:56:00,2,3
2025-08-10 15:56:15,3,3
2025-08-10 15:56:30,2,3
2025-08-10 15:56:45,3,3
2025-08-10 15:57:00,3,3
2025-08-10 15:57:15,2,3
2025-08-10 15:57:30,2,3
2025-08-10 15:57:45,2,3
2025-08-10 15:58:00,2,3
2025-08-10 15:58:15,2,3
2025-08-10 15:58:30,2,3
2025-08-10 15:58:45,2,3
2025-08-10 15:59:00,3,3
2025-08-10 15:59:15,2,3
2025-08-10 15:59:30,3,3
2025-08-10 15:59:45,3,3
2025-08-10 16:00:00,2,3
2025-08-10 16:00:15,2,3
2025-08-10 16:00:30,3,3
2025-08-10 16:00:45,3,3
2025-08-10 16:01:00,3,3
2025-08-10 16:01:15,2,3
2025-08-10 16:01:30,3,3
2025-08-10 16:01:45,3,3
2025-08-10 16:02:00,2,3
2025-08-10 16:02:15,3,3
2025-08-10 16:02:30,3,3
2025-08-10 16:02:45,3,3
2025-08-10 16:03:00,2,3
2025-08-10 16:03:15,2,3
2025-08-10 16:03:30,3,3
2025-08-10 16:03:45,3,3
2025-08-10 16:04:00,2,3
2025-08-10 16:04:15,3,3
2025-08-10 16:04:30,3,3
2025-08-10 16:04:45,3,3
2025-08-10 16:05:00,3,3
2025-08-10 16:05:15,2,3
2025-08-10 16:05:30,3,3
2025-08-10 16:05:45,2,3
2025-08-10 16:06:00,2,3
2025-08-10 16:06:15,2,3
2025-08-10 16:06:30,3,3
2025-08-10 16:06:45,2,3
2025-08-10 16:07:00,3,3
2025-08-10 16:07:15,2,3
2025-08-10 16:07:30,3,3
2025-08-10 16:07:45,3,3
2025-08-10 16:08:00,3,3
2025-08-10 16:08:15,2,3
2025-08-10 16:08:30,2,3
2025-08-10 16:08:45,3,3
2025-08-10 16:09:00,2,3
2025-08-10 16:09:15,2,3
2025-08-10 16:09:30,3,3
2025-08-10 16:09:45,2,3
2025-08-10 16:10:00,3,3
2025-08-10 16:10:15,2,3
2025-08-10 16:10:30,3,3
2025-08-10 16:10:45,2,3
2025-08-10 16:11:00,3,3
2025-08-10 16:11:15,2,3
2025-08-10 16:11:30,2,3
2025-08-10 16:11:45,3,3
2025-08-10 16:12:00,2,3
2025-08-10 16:12:15,2,3
2025-08-10 16:12:30,2,3
2025-08-10 16:12:45,2,3
2025-08-10 16:13:00,3,3
2025-08-10 16:13:15,3,3
2025-08-10 16:13:30,3,3
2025-08-10 16:13:45,3,3
2025-08-10 16:14:00,3,3
2025-08-10 16:14:15,3,3
2025-08-10 16:14:30,3,3
2025-08-10 16:14:45,2,3
2025-08-10 16:15:00,2,3
2025-08-10 16:15:15,2,3
2025-08-10 16:15:30,2,3
2025-08-10 16:15:45,2,3
2025-08-10 16:16:00,3,3
2025-08-10 16:16:15,2,3
2025-08-10 16:16:30,2,3
2025-08-10 16:16:45,2,3
2025-08-10 16:17:00,2,3
2025-08-10 16:17:15,2,3
2025-08-10 16:17:30,2,3
2025-08-10 16:17:45,2,3
2025-08-10 16:18:00,2,3
2025-08-10 16:18:15,2,3
2025-08-10 16:18:30,2,3
2025-08-10 16:18:45,2,3
2025-08-10 16:19:00,2,3
2025-08-10 16:19:15,2,3
2025-08-10 16:19:30,3,3
2025-08-10 16:19:45,2,3
2025-08-10 16:20:00,2,3
2025-08-10 16:20:15,2,3
2025-08-10 16:20:30,2,3
2025-08-10 16:20:45,2,3
2025-08-10 16:21:00,2,3
2025-08-10 16:21:15,2,3
2025-08-10 16:21:30,2,3
2025-08-10 16:21:45,2,3
2025-08-10 16:22:00,2,3
2025-08-10 16:22:15,2,3
2025-08-10 16:22:30,2,3
2025-08-10 16:22:45,2,3
2025-08-10 16:23:00,2,3
2025-08-10 16:23:15,3,3
2025-08-10 16:23:30,2,3
2025-08-10 16:23:45,2,3
2025-08-10 16:24:00,3,3
2025-08-10 16:24:15,3,3
