"Time","Prink Latency","Baseline Latency"
2025-08-11 15:05:30,51.7 s,56.6 s
2025-08-11 15:05:45,53.5 s,51.0 s
2025-08-11 15:06:00,53.5 s,49.8 s
2025-08-11 15:06:15,53.5 s,40.3 s
2025-08-11 15:06:30,53.5 s,37.6 s
2025-08-11 15:06:45,53.5 s,36.2 s
2025-08-11 15:07:15,1.01 mins,33.3 s
2025-08-11 15:07:45,1.01 mins,32.7 s
2025-08-11 15:08:00,1.01 mins,31.7 s
2025-08-11 15:08:30,1.01 mins,30.5 s
2025-08-11 15:08:45,1.05 mins,29.4 s
2025-08-11 15:09:30,1.06 mins,27.5 s
2025-08-11 15:09:45,1.06 mins,26.1 s
2025-08-11 15:10:30,1.06 mins,24.5 s
2025-08-11 15:10:45,1.07 mins,25.1 s
2025-08-11 15:11:00,1.07 mins,24.1 s
2025-08-11 15:12:00,1.07 mins,23.3 s
2025-08-11 15:12:15,1.17 mins,17.6 s
2025-08-11 15:12:30,1.24 mins,7.13 s
2025-08-11 15:12:45,1.57 mins,8.16 s
2025-08-11 15:13:00,1.80 mins,2.42 s
2025-08-11 15:13:15,1.86 mins,5.65 s
2025-08-11 15:13:30,1.83 mins,4.42 s
2025-08-11 15:13:45,1.83 mins,4.63 s
2025-08-11 15:14:45,1.82 mins,4.26 s
2025-08-11 15:15:00,1.82 mins,4.23 s
2025-08-11 15:15:15,1.82 mins,3.71 s
2025-08-11 15:16:45,1.81 mins,3.26 s
2025-08-11 15:17:00,1.81 mins,2.86 s
2025-08-11 15:17:15,1.80 mins,2.19 s
2025-08-11 15:17:30,1.79 mins,1.82 s
2025-08-11 15:19:15,1.79 mins,1.80 s
2025-08-11 15:19:30,1.79 mins,1.70 s
2025-08-11 15:19:45,1.79 mins,1.31 s
2025-08-11 15:20:00,1.87 mins,4.88 s
2025-08-11 15:21:45,13.8 mins,7.13 mins
2025-08-11 15:22:00,13.8 mins,7.11 mins
2025-08-11 15:22:15,13.8 mins,7.10 mins
2025-08-11 15:22:30,13.8 mins,7.09 mins
2025-08-11 15:22:45,13.8 mins,7.09 mins
2025-08-11 15:23:15,13.8 mins,7.09 mins
2025-08-11 15:23:30,13.8 mins,7.09 mins
2025-08-11 15:23:45,13.8 mins,7.09 mins
2025-08-11 15:24:00,13.8 mins,7.09 mins
2025-08-11 15:24:45,13.8 mins,7.06 mins
2025-08-11 15:25:00,13.8 mins,7.05 mins
2025-08-11 15:25:30,13.8 mins,7.04 mins
2025-08-11 15:25:45,13.8 mins,7.04 mins
2025-08-11 15:26:00,13.8 mins,7.01 mins
2025-08-11 15:26:15,13.8 mins,6.97 mins
2025-08-11 15:26:30,13.8 mins,6.93 mins
2025-08-11 15:26:45,13.8 mins,6.88 mins
2025-08-11 15:27:00,13.7 mins,6.85 mins
2025-08-11 15:27:15,13.7 mins,6.80 mins
2025-08-11 15:28:00,13.7 mins,6.79 mins
2025-08-11 15:28:15,13.7 mins,6.80 mins
2025-08-11 15:28:30,13.7 mins,6.80 mins
2025-08-11 15:29:30,13.7 mins,6.78 mins
2025-08-11 15:29:45,13.7 mins,6.78 mins
2025-08-11 15:30:00,13.7 mins,6.79 mins
2025-08-11 15:31:15,13.7 mins,6.78 mins
2025-08-11 15:31:30,13.7 mins,6.78 mins
2025-08-11 15:31:45,13.7 mins,6.76 mins
2025-08-11 15:33:30,13.7 mins,6.76 mins
2025-08-11 15:33:45,13.7 mins,6.76 mins
2025-08-11 15:34:00,13.7 mins,6.75 mins
2025-08-11 15:34:15,13.7 mins,6.73 mins
2025-08-11 15:34:30,13.7 mins,6.73 mins
