"Time","Observed l","Defined l"
2025-08-11 15:05:30,2,3
2025-08-11 15:05:45,2,3
2025-08-11 15:06:00,2,3
2025-08-11 15:06:15,3,3
2025-08-11 15:06:30,3,3
2025-08-11 15:06:45,4,3
2025-08-11 15:07:00,3,3
2025-08-11 15:07:15,2,3
2025-08-11 15:07:30,3,3
2025-08-11 15:07:45,3,3
2025-08-11 15:08:00,3,3
2025-08-11 15:08:15,3,3
2025-08-11 15:08:30,3,3
2025-08-11 15:08:45,3,3
2025-08-11 15:09:00,3,3
2025-08-11 15:09:15,3,3
2025-08-11 15:09:30,3,3
2025-08-11 15:09:45,3,3
2025-08-11 15:10:00,2,3
2025-08-11 15:10:15,2,3
2025-08-11 15:10:30,2,3
2025-08-11 15:10:45,2,3
2025-08-11 15:11:00,2,3
2025-08-11 15:11:15,2,3
2025-08-11 15:11:30,3,3
2025-08-11 15:11:45,2,3
2025-08-11 15:12:00,3,3
2025-08-11 15:12:15,3,3
2025-08-11 15:12:30,2,3
2025-08-11 15:12:45,3,3
2025-08-11 15:13:00,2,3
2025-08-11 15:13:15,3,3
2025-08-11 15:13:30,3,3
2025-08-11 15:13:45,3,3
2025-08-11 15:14:00,2,3
2025-08-11 15:14:15,3,3
2025-08-11 15:14:30,3,3
2025-08-11 15:14:45,3,3
2025-08-11 15:15:00,2,3
2025-08-11 15:15:15,3,3
2025-08-11 15:15:30,2,3
2025-08-11 15:15:45,2,3
2025-08-11 15:16:00,3,3
2025-08-11 15:16:15,2,3
2025-08-11 15:16:30,2,3
2025-08-11 15:16:45,3,3
2025-08-11 15:17:00,3,3
2025-08-11 15:17:15,3,3
2025-08-11 15:17:30,3,3
2025-08-11 15:17:45,3,3
2025-08-11 15:18:00,3,3
2025-08-11 15:18:15,2,3
2025-08-11 15:18:30,3,3
2025-08-11 15:18:45,3,3
2025-08-11 15:19:00,3,3
2025-08-11 15:19:15,3,3
2025-08-11 15:19:30,3,3
2025-08-11 15:19:45,2,3
2025-08-11 15:20:00,3,3
2025-08-11 15:20:15,3,3
2025-08-11 15:20:30,2,3
2025-08-11 15:20:45,3,3
2025-08-11 15:21:00,3,3
2025-08-11 15:21:15,3,3
2025-08-11 15:21:30,3,3
2025-08-11 15:21:45,3,3
2025-08-11 15:22:00,3,3
2025-08-11 15:22:15,2,3
2025-08-11 15:22:30,3,3
2025-08-11 15:22:45,3,3
2025-08-11 15:23:00,2,3
2025-08-11 15:23:15,2,3
2025-08-11 15:23:30,3,3
2025-08-11 15:23:45,3,3
2025-08-11 15:24:00,3,3
2025-08-11 15:24:15,3,3
2025-08-11 15:24:30,3,3
2025-08-11 15:24:45,3,3
2025-08-11 15:25:00,3,3
2025-08-11 15:25:15,3,3
2025-08-11 15:25:30,3,3
2025-08-11 15:25:45,3,3
2025-08-11 15:26:00,3,3
2025-08-11 15:26:15,3,3
2025-08-11 15:26:30,2,3
2025-08-11 15:26:45,2,3
2025-08-11 15:27:00,2,3
2025-08-11 15:27:15,3,3
2025-08-11 15:27:30,3,3
2025-08-11 15:27:45,3,3
2025-08-11 15:28:00,3,3
2025-08-11 15:28:15,3,3
2025-08-11 15:28:30,3,3
2025-08-11 15:28:45,3,3
2025-08-11 15:29:00,3,3
2025-08-11 15:29:15,3,3
2025-08-11 15:29:30,3,3
2025-08-11 15:29:45,3,3
2025-08-11 15:30:00,3,3
2025-08-11 15:30:15,3,3
2025-08-11 15:30:30,3,3
2025-08-11 15:30:45,3,3
2025-08-11 15:31:00,3,3
2025-08-11 15:31:15,3,3
2025-08-11 15:31:30,3,3
2025-08-11 15:31:45,3,3
2025-08-11 15:32:00,3,3
2025-08-11 15:32:15,3,3
2025-08-11 15:32:30,3,3
2025-08-11 15:32:45,3,3
2025-08-11 15:33:00,3,3
2025-08-11 15:33:15,3,3
2025-08-11 15:33:30,3,3
2025-08-11 15:33:45,3,3
2025-08-11 15:34:00,3,3
2025-08-11 15:34:15,3,3
2025-08-11 15:34:30,3,3
2025-08-11 15:34:45,3,3
