"Time","Prink Latency","Baseline Latency"
2025-08-11 10:27:00,31.7 mins,12.5 mins
2025-08-11 10:27:15,31.7 mins,12.5 mins
2025-08-11 10:27:45,31.7 mins,12.5 mins
2025-08-11 10:28:00,31.7 mins,12.5 mins
2025-08-11 10:28:30,31.7 mins,12.5 mins
2025-08-11 10:28:45,31.7 mins,12.4 mins
2025-08-11 10:29:15,31.7 mins,12.4 mins
2025-08-11 10:29:30,31.7 mins,12.4 mins
2025-08-11 10:30:15,31.7 mins,12.4 mins
2025-08-11 10:30:30,31.7 mins,12.4 mins
2025-08-11 10:30:45,31.7 mins,12.4 mins
2025-08-11 10:31:00,31.8 mins,12.3 mins
2025-08-11 10:31:15,31.8 mins,12.2 mins
2025-08-11 10:31:30,31.9 mins,12.2 mins
2025-08-11 10:31:45,32.0 mins,12.1 mins
2025-08-11 10:32:00,32.0 mins,12.0 mins
2025-08-11 10:32:45,32.0 mins,12.0 mins
2025-08-11 10:33:00,32.0 mins,12.0 mins
2025-08-11 10:34:00,32.0 mins,12.0 mins
2025-08-11 10:34:15,32.0 mins,12.0 mins
2025-08-11 10:34:30,32.1 mins,12.0 mins
2025-08-11 10:34:45,32.3 mins,11.9 mins
2025-08-11 10:35:00,32.8 mins,12.2 mins
2025-08-11 10:35:15,32.8 mins,12.0 mins
2025-08-11 10:35:30,33.2 mins,12.3 mins
2025-08-11 10:35:45,33.2 mins,12.1 mins
2025-08-11 10:36:45,33.2 mins,12.0 mins
2025-08-11 10:37:00,33.3 mins,12.4 mins
2025-08-11 10:37:15,33.3 mins,12.4 mins
2025-08-11 10:38:30,33.3 mins,12.4 mins
2025-08-11 10:38:45,33.7 mins,12.4 mins
2025-08-11 10:39:00,33.7 mins,12.3 mins
2025-08-11 10:40:45,33.7 mins,12.3 mins
2025-08-11 10:41:00,33.7 mins,12.3 mins
2025-08-11 10:41:15,33.7 mins,12.3 mins
2025-08-11 10:43:15,47.8 mins,18.8 mins
2025-08-11 10:43:30,47.8 mins,18.8 mins
2025-08-11 10:43:45,47.8 mins,18.8 mins
2025-08-11 10:44:00,47.8 mins,18.8 mins
2025-08-11 10:44:15,47.8 mins,18.8 mins
2025-08-11 10:44:30,47.8 mins,18.8 mins
2025-08-11 10:45:00,47.8 mins,18.8 mins
2025-08-11 10:45:45,47.8 mins,18.8 mins
2025-08-11 10:46:00,47.8 mins,18.7 mins
2025-08-11 10:46:30,47.8 mins,18.7 mins
2025-08-11 10:46:45,47.8 mins,18.7 mins
2025-08-11 10:47:00,47.8 mins,18.7 mins
2025-08-11 10:47:15,47.8 mins,18.6 mins
2025-08-11 10:48:15,47.8 mins,18.6 mins
2025-08-11 10:48:30,47.8 mins,18.5 mins
2025-08-11 10:48:45,47.8 mins,18.5 mins
2025-08-11 10:49:00,47.8 mins,18.4 mins
2025-08-11 10:49:45,47.8 mins,18.4 mins
