"Time","Prink Latency","Baseline Latency"
2025-08-11 09:51:15,50.1 s,51.4 s
2025-08-11 09:51:30,48.4 s,51.2 s
2025-08-11 09:51:45,48.5 s,50.3 s
2025-08-11 09:52:00,41.9 s,45.2 s
2025-08-11 09:52:15,38.8 s,35.3 s
2025-08-11 09:52:30,35.8 s,31.1 s
2025-08-11 09:52:45,35.8 s,30.6 s
2025-08-11 09:53:00,34.8 s,30.6 s
2025-08-11 09:53:15,33.1 s,30.6 s
2025-08-11 09:53:30,32.3 s,24.4 s
2025-08-11 09:53:45,39.4 s,18.3 s
2025-08-11 09:54:00,40.3 s,16.5 s
2025-08-11 09:54:15,42.1 s,11.7 s
2025-08-11 09:54:30,42.8 s,5.19 s
2025-08-11 09:54:45,42.8 s,5.19 s
2025-08-11 09:55:00,42.9 s,5.19 s
2025-08-11 09:55:30,42.9 s,5.19 s
2025-08-11 09:55:45,42.9 s,4.83 s
2025-08-11 09:56:15,42.9 s,4.83 s
2025-08-11 09:56:30,45.5 s,4.83 s
2025-08-11 09:57:00,45.6 s,4.83 s
2025-08-11 09:57:15,45.6 s,7.52 s
2025-08-11 09:58:00,45.5 s,6.38 s
2025-08-11 09:58:15,45.5 s,6.38 s
2025-08-11 09:58:30,46.2 s,6.17 s
2025-08-11 09:59:30,46.5 s,5.89 s
2025-08-11 09:59:45,46.7 s,5.55 s
2025-08-11 10:01:30,46.7 s,4.74 s
2025-08-11 10:01:45,46.9 s,4.37 s
2025-08-11 10:02:00,48.1 s,1.83 s
2025-08-11 10:02:15,53.9 s,1.83 s
2025-08-11 10:02:30,59.2 s,40.9 ms
2025-08-11 10:02:45,1.11 mins,3.55 s
2025-08-11 10:03:00,1.17 mins,25.4 ms
2025-08-11 10:03:15,1.24 mins,29.8 ms
2025-08-11 10:03:30,1.24 mins,14.4 ms
2025-08-11 10:05:30,13.3 mins,4.98 mins
2025-08-11 10:05:45,13.3 mins,4.97 mins
2025-08-11 10:06:00,13.3 mins,4.95 mins
2025-08-11 10:06:15,13.3 mins,4.95 mins
2025-08-11 10:06:45,13.3 mins,4.95 mins
2025-08-11 10:07:15,13.3 mins,4.95 mins
2025-08-11 10:07:30,13.3 mins,4.93 mins
2025-08-11 10:08:00,13.3 mins,4.93 mins
2025-08-11 10:08:15,13.3 mins,4.87 mins
2025-08-11 10:08:30,13.3 mins,4.78 mins
2025-08-11 10:08:45,13.3 mins,4.66 mins
2025-08-11 10:09:15,13.3 mins,4.65 mins
2025-08-11 10:09:30,13.3 mins,4.65 mins
2025-08-11 10:10:15,13.3 mins,4.64 mins
2025-08-11 10:10:30,13.3 mins,4.62 mins
2025-08-11 10:10:45,13.4 mins,4.49 mins
2025-08-11 10:11:00,13.4 mins,4.46 mins
2025-08-11 10:11:45,13.4 mins,4.46 mins
2025-08-11 10:12:00,13.4 mins,4.46 mins
2025-08-11 10:12:15,13.4 mins,4.42 mins
2025-08-11 10:13:15,13.4 mins,4.41 mins
2025-08-11 10:13:30,13.4 mins,4.43 mins
2025-08-11 10:13:45,13.4 mins,4.36 mins
2025-08-11 10:14:00,13.5 mins,4.25 mins
2025-08-11 10:15:30,13.5 mins,4.13 mins
2025-08-11 10:15:45,13.6 mins,4.13 mins
2025-08-11 10:16:00,13.7 mins,4.01 mins
2025-08-11 10:16:15,13.8 mins,3.98 mins
2025-08-11 10:16:30,13.8 mins,3.97 mins
2025-08-11 10:16:45,13.9 mins,3.91 mins
2025-08-11 10:17:00,13.9 mins,3.80 mins
2025-08-11 10:17:15,14.3 mins,4.04 mins
2025-08-11 10:17:30,14.3 mins,3.93 mins
2025-08-11 10:17:45,14.3 mins,3.84 mins
2025-08-11 10:18:00,14.3 mins,4.12 mins
2025-08-11 10:18:15,14.8 mins,4.09 mins
2025-08-11 10:18:30,14.8 mins,3.99 mins
2025-08-11 10:18:45,14.9 mins,3.82 mins
2025-08-11 10:19:00,14.9 mins,3.29 mins
2025-08-11 10:19:15,15.5 mins,3.70 mins
2025-08-11 10:20:45,15.6 mins,3.71 mins
2025-08-11 10:21:00,15.6 mins,3.78 mins
2025-08-11 10:21:15,15.6 mins,3.84 mins
2025-08-11 10:21:30,15.6 mins,3.87 mins
2025-08-11 10:23:15,15.8 mins,3.87 mins
2025-08-11 10:23:30,15.9 mins,4.03 mins
2025-08-11 10:23:45,16.1 mins,4.14 mins
2025-08-11 10:25:30,31.7 mins,
2025-08-11 10:25:45,31.7 mins,12.6 mins
2025-08-11 10:26:00,31.7 mins,12.6 mins
2025-08-11 10:26:15,31.7 mins,12.6 mins
2025-08-11 10:26:30,31.7 mins,12.5 mins
2025-08-11 10:26:45,31.7 mins,12.5 mins
